---------------------------------------------------------------------------------------------
Output for sample-g.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2096932)
('total number of distinct words=', 36767)
('popular_threshold_word=', 1839.0)
('common_threshold_l_word=', 17464.0)
('common_threshold_u_word=', 19303.0)
('rare_threshold_word=', 34928.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
| 742|           ass|      276|
| 743|      dulcinea|      276|
| 744|       forward|      276|
| 745|          note|      276|
| 746|      appeared|      275|
| 747|          ears|      275|
| 748|      occasion|      275|
| 749|        danger|      273|
| 750|            la|      273|
| 751|    electronic|      272|
| 752|         fault|      272|
| 753|       command|      271|
| 754|          dark|      271|
| 755|        street|      271|
| 756|        thanks|      270|
| 757|         green|      270|
| 758|         haste|      270|
| 759|        palace|      270|
| 760|        appear|      269|
| 761|        window|      269|
| 762|         field|      269|
| 763|         panza|      269|
| 764|         carry|      268|
| 765|         trust|      268|
| 766|          idea|      268|
| 767|      isabella|      268|
| 768|       besides|      267|
| 769|    afterwards|      266|
| 770|            ah|      266|
| 771|         nurse|      266|
| 772|     cleopatra|      265|
| 773|     sometimes|      265|
| 774|        pocket|      265|
| 775|         books|      264|
| 776|          duty|      264|
| 777|        wanted|      264|
| 778|          lead|      264|
| 779|       natural|      264|
| 780|          alas|      263|
| 781|           red|      263|
| 782|      rosalind|      263|
| 783|      margaret|      263|
| 784|     certainly|      262|
| 785|       respect|      262|
| 786|         royal|      262|
| 787|          loss|      262|
| 788|       carried|      260|
| 789|         drink|      260|
| 790|       shallow|      260|
| 791|        garden|      260|
| 792|   immediately|      260|
| 793|     knowledge|      260|
| 794|         fancy|      258|
| 795|    particular|      257|
| 796|     different|      256|
| 797|        squire|      256|
| 798|       village|      255|
| 799|          maid|      255|
| 800|    buckingham|      254|
| 801|      soldiers|      254|
| 802|          paid|      254|
| 803|       wemmick|      253|
| 804|         force|      253|
| 805|      happened|      253|
| 806|          pain|      253|
| 807|          easy|      252|
| 808|        public|      252|
| 809|        struck|      252|
| 810|        french|      252|
| 811|          lest|      251|
| 812|        tender|      250|
| 813|         party|      250|
| 814|   countenance|      249|
| 815|       trouble|      249|
| 816|          wear|      249|
| 817|       history|      249|
| 818|          evil|      248|
| 819|          fast|      248|
| 820|         quiet|      248|
| 821|      strength|      248|
| 822|       suffolk|      248|
| 823|      followed|      248|
| 824|          ring|      247|
| 825|       instant|      247|
| 826|         pedro|      247|
| 827|          sick|      246|
| 828|       written|      246|
| 829|           hot|      246|
| 830|         mercy|      245|
| 831|    appearance|      244|
| 832|    foundation|      244|
| 833|           led|      244|
| 834|        lucius|      244|
| 835|        bloody|      243|
| 836|        cassio|      243|
| 837|        regard|      243|
| 838|       troilus|      243|
| 839|      havisham|      243|
| 840|     attention|      242|
| 841|         touch|      242|
| 842|         begin|      241|
| 843|         edgar|      241|
| 844|          hate|      241|
| 845|       chamber|      240|
| 846|      presence|      240|
| 847|       content|      239|
| 848|          hell|      239|
| 849|    impossible|      239|
| 850|       passion|      239|
| 851|      feelings|      238|
| 852|      syracuse|      238|
| 853|          wait|      238|
| 854|         chair|      237|
| 855|      straight|      237|
| 856|          ways|      236|
| 857|         canst|      235|
| 858|           dog|      235|
| 859|      thinking|      235|
| 860|        doctor|      234|
| 861|        proper|      234|
| 862|        secret|      234|
| 863|          suit|      234|
| 864|         truly|      234|
| 865|         meant|      234|
