---------------------------------------------------------------------------------------------
Output for s3a://batch-processing-bucket/large-text-file-1.txt
---------------------------------------------------------------------------------------------
('total number of words=', 20180402)
('total number of distinct words=', 61593)
('popular_threshold_word=', 3080.0)
('common_threshold_l_word=', 29256.0)
('common_threshold_u_word=', 32337.0)
('rare_threshold_word=', 58513.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+---------------+---------+
|Rank|           Word|Frequency|
| 952|        society|     1916|
| 953|        chamber|     1916|
| 954|       syracuse|     1912|
| 955|           lest|     1912|
| 956|         across|     1912|
| 957|          sorry|     1908|
| 958|    immediately|     1904|
| 959|          piece|     1904|
| 960|           suit|     1900|
| 961|        turning|     1900|
| 962|          alice|     1896|
| 963|         famous|     1888|
| 964|            top|     1888|
| 965|      advantage|     1888|
| 966|         behold|     1888|
| 967|          equal|     1884|
| 968|          offer|     1884|
| 969|          later|     1880|
| 970|           lear|     1880|
| 971|             la|     1876|
| 972|        beseech|     1868|
| 973|         afraid|     1864|
| 974|         emilia|     1864|
| 975|         breast|     1864|
| 976|      valentine|     1860|
| 977|           sing|     1856|
| 978|          guard|     1856|
| 979|             ha|     1856|
| 980|         pocket|     1856|
| 981|            big|     1852|
| 982|         latter|     1848|
| 983|     appearance|     1844|
| 984|         garden|     1844|
| 985|          brave|     1840|
| 986|          pride|     1840|
| 987|          saint|     1836|
| 988|          dream|     1836|
| 989|          canst|     1836|
| 990|          glass|     1836|
| 991|         golden|     1836|
| 992|           cast|     1836|
| 993|        valiant|     1828|
| 994|           pure|     1828|
| 995|         notice|     1824|
| 996|       gracious|     1824|
| 997|       creature|     1820|
| 998|           base|     1816|
| 999|         length|     1816|
|1000|          flesh|     1816|
|1001|     especially|     1812|
|1002|        persons|     1812|
|1003|      desdemona|     1808|
|1004|        cassius|     1808|
|1005|          chair|     1808|
|1006|      christian|     1808|
|1007|          moved|     1800|
|1008|          taste|     1796|
|1009|          agree|     1796|
|1010|            due|     1796|
